Date,Open,High,Low,Close,Volume,High-low,Open-close
23-04-2018,337,339.65,333,333.5,1076670,6.65,3.5
24-04-2018,334,335.5,330.85,331.55,450969,4.65,2.45
25-04-2018,330.55,333.95,327.9,328.65,478076,6.05,1.9
26-04-2018,328.25,335.65,326.1,330.3,686464,9.55,-2.05
27-04-2018,332.15,337.55,331.35,336.8,512142,6.2,-4.65
30-04-2018,338.95,342.7,337.4,340.2,436277,5.3,-1.25
02-05-2018,349.75,352,335.1,336,1159632,16.9,13.75
03-05-2018,335,335.5,329.45,333.45,1062017,6.05,1.55
04-05-2018,335.7,337.5,329.5,334.25,474047,8,1.45
07-05-2018,337.5,337.5,333.9,335.05,243640,3.6,2.45
08-05-2018,339.2,339.2,330.3,332.1,354371,8.9,7.1
09-05-2018,332.1,346.75,331.1,341.35,999911,15.65,-9.25
10-05-2018,343.1,344.3,332.5,333.35,782878,11.8,9.75
11-05-2018,335.4,335.4,330,330.75,484582,5.4,4.65
14-05-2018,332.5,333.9,323.15,324.15,684086,10.75,8.35
15-05-2018,323.95,324,305.75,310.25,1299902,18.25,13.7
16-05-2018,310.7,315.4,306.8,310.4,749847,8.6,0.3
17-05-2018,312,319.35,309.6,315.15,1151045,9.75,-3.15
18-05-2018,315,315.1,304,305.25,716253,11.1,9.75
21-05-2018,304.2,307.35,295.1,296.55,759795,12.25,7.65
22-05-2018,296,312.5,296,307.75,1238907,16.5,-11.75
23-05-2018,310.5,317,305.65,309.25,1179567,11.35,1.25
24-05-2018,301.5,307.6,284.7,288.95,3260752,22.9,12.55
25-05-2018,288.65,296.9,286.25,294.2,1120841,10.65,-5.55
28-05-2018,294.9,300,290.45,296.2,648033,9.55,-1.3
29-05-2018,296.3,300.2,293,294.6,575018,7.2,1.7
30-05-2018,290.9,292.4,286.25,288.95,777993,6.15,1.95
31-05-2018,290.8,291.15,282,282.9,1137096,9.15,7.9
01-06-2018,286.65,290.5,283.4,287.2,1259799,7.1,-0.55
04-06-2018,291.6,294.8,286.1,286.65,791666,8.7,4.95
05-06-2018,286,288.3,283.7,285.35,526276,4.6,0.65
06-06-2018,286.05,296.7,285.55,295.5,1272388,11.15,-9.45
07-06-2018,297,306.45,295.6,305.3,1363470,10.85,-8.3
08-06-2018,306.8,315,302.6,310.05,1468816,12.4,-3.25
11-06-2018,311.8,313.9,307.05,309.85,1007575,6.85,1.95
12-06-2018,310,313.5,307.1,308,497309,6.4,2
13-06-2018,308.2,311,307,308.15,519926,4,0.05
14-06-2018,308.45,309.7,303.9,305.75,464091,5.8,2.7
15-06-2018,306,307.75,300.75,303.2,470004,7,2.8
18-06-2018,303.55,310.8,302.05,308.75,681093,8.75,-5.2
19-06-2018,309,312.65,303.45,304.65,834498,9.2,4.35
20-06-2018,304.7,308.3,304,305.6,427023,4.3,-0.9
